Hall,Category,Time,Dish,Calories,Serving Size,AutoCategory,FinalCategory
Huffman,Lunch,(11:30am-2pm),Romaine Lettuce,15,1 cup,other,side
Huffman,Lunch,(11:30am-2pm),Baby Spinach,15,1 cup,other,side
Huffman,Lunch,(11:30am-2pm),Chilled Quinoa,130,0.5 cup,other,side
Huffman,Lunch,(11:30am-2pm),Grape Tomatoes,15,0.5 cup,other,side
Huffman,Lunch,(11:30am-2pm),Sliced Cucumber,10,0.5 cup,other,side
Huffman,Lunch,(11:30am-2pm),Shredded Carrots,25,2 oz,other,side
Huffman,Lunch,(11:30am-2pm),Sliced Red Onions,15,1 oz,other,side
Huffman,Lunch,(11:30am-2pm),Sliced Bell Peppers,10,1 oz,other,side
Huffman,Lunch,(11:30am-2pm),Sliced Black Olives,0,2 tbsp,other,side
Huffman,Lunch,(11:30am-2pm),Roasted Edamame,170,0.5 cup,other,side
Huffman,Lunch,(11:30am-2pm),Pickled Beets,60,1 oz,other,side
Huffman,Lunch,(11:30am-2pm),Fresh Broccoli Florets,20,0.5 cup,other,side
Huffman,Lunch,(11:30am-2pm),Roasted Brussels Sprouts,45,0.5 cup,other,side
Huffman,Lunch,(11:30am-2pm),Crispy Chickpeas,60,0.5 oz,other,side
Huffman,Lunch,(11:30am-2pm),Diced Chicken,180,3.75 oz,main,main
Huffman,Lunch,(11:30am-2pm),Roasted Tofu,160,3 oz,main,main
Huffman,Lunch,(11:30am-2pm),Hard-Boiled Eggs,60,1 egg,main,side
Huffman,Lunch,(11:30am-2pm),Shredded Cheddar Cheese,120,0.25 cup,other,side
Huffman,Lunch,(11:30am-2pm),House Made Honey Mustard,130,1 tbsp,other,other
Huffman,Lunch,(11:30am-2pm),Herb Ranch Dressing,80,1 floz,other,other
Huffman,Lunch,(11:30am-2pm),Raspberry Vinaigrette,0,2 tbsp,other,other
Huffman,Lunch,(11:30am-2pm),Italian Dressing,280,1 serving,other,other
Huffman,Lunch,(11:30am-2pm),Balsamic Blueberry Vinaigrette,230,2 floz,other,other
Huffman,Lunch,(11:30am-2pm),Homestyle Egg Salad,270,4 oz,main,main
Huffman,Lunch,(11:30am-2pm),Antispasto Pasta Salad,240,5 oz,main,main
Huffman,Lunch,(11:30am-2pm),Nonfat Vanilla Greek Yogurt,90,0.5 cup,other,side
Huffman,Lunch,(11:30am-2pm),Nonfat Plain Greek Yogurt,100,0.75 cup,other,side
Huffman,Lunch,(11:30am-2pm),Nonfat Strawberry Greek Yogurt,180,1 cup,other,side
Huffman,Lunch,(11:30am-2pm),Cottage Cheese,90,0.5 cup,other,side
Huffman,Lunch,(11:30am-2pm),Cinnamon Brown Sugar Granola,370,0.5 cup,other,other
Huffman,Lunch,(11:30am-2pm),Pumpkin Seeds,160,2 tbsp,other,other
Huffman,Lunch,(11:30am-2pm),Chia Seeds,70,1.5 tbsp,other,other
Huffman,Lunch,(11:30am-2pm),Red & Green Grapes,60,0.5 cup,other,side
Huffman,Lunch,(11:30am-2pm),Cantaloupe,30,0.5 cup,other,side
Huffman,Lunch,(11:30am-2pm),Pineapple Chunks,70,4 oz,other,side
Huffman,Lunch,(11:30am-2pm),Honeydew Melon,35,0.5 cup,other,side
Huffman,Lunch,(11:30am-2pm),Chicken Tinga,130,0.5 cup,main,main
Huffman,Lunch,(11:30am-2pm),Kale with Caramelized Onions,45,0.5 cup,other,side
Huffman,Lunch,(11:30am-2pm),Zucchini & Yellow Squash Saute,70,0.5 cup,other,other
Huffman,Lunch,(11:30am-2pm),Red Beans & Rice,150,0.5 cup,side,side
Huffman,Lunch,(11:30am-2pm),Pepperoni Pizza,260,1 slice,other,main
Huffman,Lunch,(11:30am-2pm),Cheese Pizza,240,1 slice,other,main
Huffman,Lunch,(11:30am-2pm),Vegetable Pizza,270,1 slice,side,side
Huffman,Lunch,(11:30am-2pm),Beef Barley Soup,120,6 floz,main,main
Huffman,Lunch,(11:30am-2pm),Cream of Mushroom Soup,150,6 floz,main,main
Huffman,Lunch,(11:30am-2pm),Smash Burger,590,6 oz,main,main
Huffman,Lunch,(11:30am-2pm),Seasoned Turkey Burger,260,1 each,main,main
Huffman,Lunch,(11:30am-2pm),Grilled Seasoned Chicken Breast,270,1 each,main,main
Huffman,Lunch,(11:30am-2pm),Beyond Burger Patty,240,1 patty,main,main
Huffman,Lunch,(11:30am-2pm),Black Bean Burger,180,,main,main
Huffman,Lunch,(11:30am-2pm),Potato Roll,220,1 each,side,side
Huffman,Lunch,(11:30am-2pm),Bacon Onion Jam,130,2 tbsp,main,main
