Dish,Category
Ranch Dressing,Dinner (5pm-9pm)
Honey Mustard Dressing,Dinner (5pm-9pm)
Creamy Avocado Dressing,Dinner (5pm-9pm)
Cheese Pizza,Dinner (5pm-9pm)
Chef's Special,Dinner (5pm-9pm)
Beef Burger Patty,Dinner (5pm-9pm)
Crispy French Fries,Dinner (5pm-9pm)
Potato Roll,Dinner (5pm-9pm)
Leaf Lettuce,Dinner (5pm-9pm)
Sliced Tomatoes,Dinner (5pm-9pm)
Dill Pickle Slices,Dinner (5pm-9pm)
Sweet Potato Fries,Dinner (5pm-9pm)
American Cheese,Dinner (5pm-9pm)
Sliced Swiss Cheese,Dinner (5pm-9pm)
Spaghetti,Dinner (5pm-9pm)
Marinara Sauce,Dinner (5pm-9pm)
Beef Meatballs,Dinner (5pm-9pm)
Eggplant Parmesan,Dinner (5pm-9pm)
Steamed Cauliflower,Dinner (5pm-9pm)
Spaghetti,Dinner (5pm-9pm)
Beef Meatballs,Dinner (5pm-9pm)
Marinara Sauce,Dinner (5pm-9pm)
Eggplant Parmesan,Dinner (5pm-9pm)
Steamed Cauliflower,Dinner (5pm-9pm)
Grated Parmesan Cheese,Dinner (5pm-9pm)
Sugar Cookie,Dinner (5pm-9pm)
Double Chocolate Chip Cookie,Dinner (5pm-9pm)
Butterscotch Blondie,Dinner (5pm-9pm)
Cheesecake Swirl Brownie,Dinner (5pm-9pm)
Oatmeal Raisin Cookie,Dinner (5pm-9pm)
Ancho Beef Chili,Dinner (5pm-9pm)
