Hall,Category,Time,Dish,Calories,Serving Size,Station,FinalStation,Role
Huffman,Breakfast,(7:30am-10:30am),Made Without Gluten Bread,150,1 slice,toasted,byo_breakfast,base
Huffman,Breakfast,(7:30am-10:30am),Made without Gluten Bagel,270,,toasted,byo_breakfast,base
Huffman,Breakfast,(7:30am-10:30am),Whipped Cream Cheese,50,2 tbsp,toasted,byo_breakfast,extra
Huffman,Breakfast,(7:30am-10:30am),Sun Butter,100,1 tbsp,toasted,byo_breakfast,unknown
Huffman,Breakfast,(7:30am-10:30am),Peanut Butter,0,1 each,toasted,byo_breakfast,unknown
Huffman,Breakfast,(7:30am-10:30am),Grape Jelly,50,1 tbsp,toasted,byo_breakfast,unknown
Huffman,Breakfast,(7:30am-10:30am),Strawberry Jelly,50,1 tbsp,toasted,byo_breakfast,topping
Huffman,Breakfast,(7:30am-10:30am),Orange Marmalade,50,1 tbsp,toasted,byo_breakfast,topping
Huffman,Breakfast,(7:30am-10:30am),Butter,100,1 tbsp,toasted,byo_breakfast,unknown
Huffman,Breakfast,(7:30am-10:30am),Belgian Waffle,200,1 each,waffle bar,byo_breakfast,base
Huffman,Breakfast,(7:30am-10:30am),Maple Syrup,60,1 tbsp,waffle bar,byo_breakfast,unknown
Huffman,Breakfast,(7:30am-10:30am),Chocolate Chips,120,2 tbsp,waffle bar,byo_breakfast,unknown
Huffman,Breakfast,(7:30am-10:30am),Mini Marshmallow,20,2 tbsp,waffle bar,byo_breakfast,unknown
Huffman,Breakfast,(7:30am-10:30am),Chocolate Sauce,140,2 floz,waffle bar,byo_breakfast,sauce
Huffman,Breakfast,(7:30am-10:30am),2% Milk,130,8 floz,milks & cereals,dessert_beverage,beverage
Huffman,Breakfast,(7:30am-10:30am),Chocolate Milk,0,8 floz,milks & cereals,dessert_beverage,beverage
Huffman,Breakfast,(7:30am-10:30am),Chocolate Peamilk,140,1 cup,milks & cereals,dessert_beverage,beverage
Huffman,Breakfast,(7:30am-10:30am),Oatmilk,140,1 cup,milks & cereals,dessert_beverage,beverage
Huffman,Breakfast,(7:30am-10:30am),Soymilk,110,1 cup,milks & cereals,dessert_beverage,beverage
Huffman,Breakfast,(7:30am-10:30am),Rice Chex Cereal,160,1 cup,milks & cereals,dessert_beverage,topping
Huffman,Breakfast,(7:30am-10:30am),Fruit Loops Cereal,850,,milks & cereals,dessert_beverage,topping
Huffman,Breakfast,(7:30am-10:30am),Raisin Bran Cereal,200,1 cup,milks & cereals,dessert_beverage,topping
Huffman,Breakfast,(7:30am-10:30am),Apple Jacks Cereal,170,1 cup,milks & cereals,dessert_beverage,topping
Huffman,Breakfast,(7:30am-10:30am),Rice Krispies,110,1 cup,milks & cereals,dessert_beverage,dessert
Huffman,Breakfast,(7:30am-10:30am),Cocoa Puffs,140,1 cup,milks & cereals,dessert_beverage,topping
Huffman,Breakfast,(7:30am-10:30am),Cinnamon Toast Crunch Cereal,170,1 cup,milks & cereals,dessert_beverage,topping
Huffman,Breakfast,(7:30am-10:30am),Frosted Flakes,890,,milks & cereals,dessert_beverage,topping
Huffman,Breakfast,(7:30am-10:30am),Cheerios Cereal,70,1 cup,milks & cereals,dessert_beverage,topping
Huffman,Breakfast,(7:30am-10:30am),Brewed Coffee,0,8 floz,cafe,unknown,unknown
Huffman,Breakfast,(7:30am-10:30am),Brewed Decaf Coffee,0,8 floz,cafe,unknown,unknown
Huffman,Breakfast,(7:30am-10:30am),Cold Brew Coffee,0,6 floz,cafe,unknown,unknown
Huffman,Breakfast,(7:30am-10:30am),Hot Tea 12oz,0,,cafe,unknown,unknown
Huffman,Breakfast,(7:30am-10:30am),Half & Half,40,,cafe,unknown,unknown
Huffman,Breakfast,(7:30am-10:30am),2% Milk,130,8 floz,cafe,unknown,unknown
Huffman,Breakfast,(7:30am-10:30am),Oatly Oat Milk,110,6 floz,cafe,unknown,unknown
Huffman,Breakfast,(7:30am-10:30am),Caramel Syrup,0,,cafe,unknown,unknown
Huffman,Breakfast,(7:30am-10:30am),Simple Syrup,0,1 tbsp,cafe,unknown,unknown
Huffman,Breakfast,(7:30am-10:30am),Hazelnut Syrup,80,,cafe,unknown,unknown
Huffman,Breakfast,(7:30am-10:30am),MTO Agave Syrup,180,2 floz,cafe,unknown,unknown
Huffman,Breakfast,(7:30am-10:30am),French Vanilla Syrup,0,,cafe,unknown,unknown
Huffman,Breakfast,(7:30am-10:30am),Pumpkin Spice Syrup,0,,cafe,unknown,unknown
Huffman,Breakfast,(7:30am-10:30am),Dark Chocolate Sauce,110,1 floz,cafe,unknown,unknown
Huffman,Breakfast,(7:30am-10:30am),Honey,70,1 tbsp,cafe,unknown,unknown
Huffman,Breakfast,(7:30am-10:30am),Assorted Sugar Packets,0,,cafe,unknown,unknown
Huffman,Breakfast,(7:30am-10:30am),Apple Juice,0,8 floz,cafe,unknown,unknown
Huffman,Breakfast,(7:30am-10:30am),Cranberry Juice,0,8 floz,cafe,unknown,unknown
Huffman,Breakfast,(7:30am-10:30am),Orange Juice,100,8 floz,cafe,unknown,unknown
Huffman,Lunch,(11:30am-2pm),Herbed and Lemon Grilled Salmon,160,4 oz,fueld,byo_bowl,protein
Huffman,Lunch,(11:30am-2pm),Roasted Zucchini,30,0.5 cup,fueld,byo_bowl,veg
Huffman,Lunch,(11:30am-2pm),Roasted Butternut Squash,100,0.5 cup,fueld,byo_bowl,unknown
Huffman,Lunch,(11:30am-2pm),Brown Rice Pilaf,120,0.5 cup,fueld,byo_bowl,base
Huffman,Lunch,(11:30am-2pm),Field Greens,15,2 oz,fueld,byo_bowl,unknown
