Hall,Category,Time,Dish,Calories,Serving Size,Station,AutoCategory
Huffman,Breakfast,(7:30am-10:30am),Belgian Waffle,0,1 each,waffle bar,main-carb 0.62
Huffman,Breakfast,(7:30am-10:30am),Maple Syrup,40,1 tbsp,waffle bar,topping 0.62
Huffman,Breakfast,(7:30am-10:30am),Chocolate Chips,120,2 tbsp,waffle bar,dessert 0.68
Huffman,Breakfast,(7:30am-10:30am),Mini Marshmallow,20,2 tbsp,waffle bar,other 0.38
Huffman,Breakfast,(7:30am-10:30am),Hershey's Chocolate Syrup,190,2 floz,waffle bar,dessert 0.61
Huffman,Breakfast,(7:30am-10:30am),2% Milk,130,8 floz,Milks & Cereals,beverage 0.70
Huffman,Breakfast,(7:30am-10:30am),Chocolate Milk,0,8 floz,Milks & Cereals,beverage 0.83
Huffman,Breakfast,(7:30am-10:30am),Chocolate Peamilk,140,1 cup,Milks & Cereals,beverage 0.84
Huffman,Breakfast,(7:30am-10:30am),Oatmilk,130,1 cup,Milks & Cereals,beverage 0.80
Huffman,Breakfast,(7:30am-10:30am),Soymilk,100,1 cup,Milks & Cereals,beverage 0.80
Huffman,Breakfast,(7:30am-10:30am),Rice Chex Cereal,160,1 cup,Milks & Cereals,main-carb 0.60
Huffman,Breakfast,(7:30am-10:30am),Fruit Loops Cereal,120,,Milks & Cereals,other 0.58
Huffman,Breakfast,(7:30am-10:30am),Raisin Bran Cereal,0,1 cup,Milks & Cereals,main-carb 0.61
Huffman,Breakfast,(7:30am-10:30am),Apple Jacks Cereal,170,1 cup,Milks & Cereals,dessert 0.60
Huffman,Breakfast,(7:30am-10:30am),Rice Krispies,110,1 cup,Milks & Cereals,main-carb 0.64
Huffman,Breakfast,(7:30am-10:30am),Cocoa Puffs,140,1 cup,Milks & Cereals,dessert 0.60
Huffman,Breakfast,(7:30am-10:30am),Cinnamon Toast Crunch Cereal,170,1 cup,Milks & Cereals,main-carb 0.60
Huffman,Breakfast,(7:30am-10:30am),Frosted Flakes,150,,Milks & Cereals,dessert 0.68
Huffman,Lunch,(11:30am-2pm),Romaine Lettuce,15,1 cup,Produce Market,produce 0.67
Huffman,Lunch,(11:30am-2pm),Baby Spinach,15,1 cup,Produce Market,produce 0.55
Huffman,Lunch,(11:30am-2pm),Chilled Quinoa,130,0.5 cup,Produce Market,main-plant 0.60
Huffman,Lunch,(11:30am-2pm),Grape Tomatoes,15,0.5 cup,Produce Market,produce 0.72
Huffman,Lunch,(11:30am-2pm),Sliced Cucumber,10,0.5 cup,Produce Market,produce 0.68
Huffman,Lunch,(11:30am-2pm),Shredded Carrots,25,2 oz,Produce Market,produce 0.71
Huffman,Lunch,(11:30am-2pm),Sliced Red Onions,15,1 oz,Produce Market,produce 0.68
