Hall,Category,Time,Dish,Calories,Serving Size,Station
Huffman,Breakfast,(7:30am-10:30am),Chocolate Peamilk,140,1 cup,milks & cereals
Huffman,Breakfast,(7:30am-10:30am),Oatmilk,130,1 cup,milks & cereals
Huffman,Breakfast,(7:30am-10:30am),Soymilk,100,1 cup,milks & cereals
Huffman,Breakfast,(7:30am-10:30am),Rice Chex Cereal,160,1 cup,milks & cereals
Huffman,Breakfast,(7:30am-10:30am),Fruit Loops Cereal,120,,milks & cereals
Huffman,Breakfast,(7:30am-10:30am),Raisin Bran Cereal,200,1 cup,milks & cereals
Huffman,Breakfast,(7:30am-10:30am),Apple Jacks Cereal,170,1 cup,milks & cereals
Huffman,Breakfast,(7:30am-10:30am),Rice Krispies,110,1 cup,milks & cereals
Huffman,Breakfast,(7:30am-10:30am),Cocoa Puffs,140,1 cup,milks & cereals
Huffman,Breakfast,(7:30am-10:30am),Cinnamon Toast Crunch Cereal,170,1 cup,milks & cereals
Huffman,Breakfast,(7:30am-10:30am),Frosted Flakes,150,,milks & cereals
Huffman,Breakfast,(7:30am-10:30am),Cheerios Cereal,70,1 cup,milks & cereals
Huffman,Breakfast,(7:30am-10:30am),Brewed Coffee,0,8 floz,cafe
Huffman,Breakfast,(7:30am-10:30am),Brewed Decaf Coffee,0,8 floz,cafe
Huffman,Breakfast,(7:30am-10:30am),Cold Brew Coffee,0,6 floz,cafe
Huffman,Breakfast,(7:30am-10:30am),Hot Tea 12oz,0,,cafe
Huffman,Breakfast,(7:30am-10:30am),Half & Half,40,,cafe
Huffman,Breakfast,(7:30am-10:30am),2% Milk,130,8 floz,cafe
Huffman,Breakfast,(7:30am-10:30am),Oatly Oat Milk,110,6 floz,cafe
Huffman,Breakfast,(7:30am-10:30am),Caramel Syrup,0,,cafe
Huffman,Breakfast,(7:30am-10:30am),Simple Syrup,0,1 tbsp,cafe
Huffman,Breakfast,(7:30am-10:30am),Hazelnut Syrup,80,,cafe
Huffman,Breakfast,(7:30am-10:30am),MTO Agave Syrup,180,2 floz,cafe
Huffman,Breakfast,(7:30am-10:30am),French Vanilla Syrup,0,,cafe
Huffman,Breakfast,(7:30am-10:30am),Pumpkin Spice Syrup,0,,cafe
Huffman,Breakfast,(7:30am-10:30am),Dark Chocolate Sauce,110,1 floz,cafe
Huffman,Breakfast,(7:30am-10:30am),Honey,70,1 tbsp,cafe
Huffman,Breakfast,(7:30am-10:30am),Assorted Sugar Packets,0,,cafe
Huffman,Breakfast,(7:30am-10:30am),Apple Juice,0,8 floz,cafe
Huffman,Breakfast,(7:30am-10:30am),Cranberry Juice,0,8 floz,cafe
Huffman,Breakfast,(7:30am-10:30am),Orange Juice,100,8 floz,cafe
Huffman,Lunch,(11:30am-2pm),Dijon Herb Roast Chicken,150,4 oz,fueld
Huffman,Lunch,(11:30am-2pm),Lemon Pepper Shrimp,120,0.5 cup,fueld
Huffman,Lunch,(11:30am-2pm),Farfalle Pasta,100,0.5 cup,fueld
Huffman,Lunch,(11:30am-2pm),Gluten Free Penne Pasta,100,0.5 cup,fueld
Huffman,Lunch,(11:30am-2pm),Marinara Sauce,15,4 floz,fueld
Huffman,Lunch,(11:30am-2pm),Alfredo Sauce Bella,370,1 serving,fueld
Huffman,Lunch,(11:30am-2pm),Pesto Sauce,100,1 floz,fueld
Huffman,Lunch,(11:30am-2pm),Garlic Oil,240,1 floz,fueld
Huffman,Lunch,(11:30am-2pm),Lemon Roasted Brussels Sprouts,45,0.5 cup,fueld
Huffman,Lunch,(11:30am-2pm),Roasted Wild Mushrooms,310,0.5 cup,fueld
Huffman,Lunch,(11:30am-2pm),Roasted Red Peppers,45,3 oz,fueld
Huffman,Lunch,(11:30am-2pm),Roasted Grape Tomatoes,180,0.5 cup,fueld
Huffman,Lunch,(11:30am-2pm),Sauteed Spinach,80,0.5 cup,fueld
